year,list_position,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,name,duration_ms,release_date,album_type,explicit
2019-07-20,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2019-07-27,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2019-08-03,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2019-08-10,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2019-08-17,1,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,4.0,Old Town Road - Remix,157066,2019-06-21,single,False
2008-12-13,1,2ZBNclC5wm4GtiWaeh0DMx,0.426,0.584,1.0,-5.293,1.0,0.296,0.0383,0.0,0.188,0.272,193.437,4.0,Single Ladies (Put a Ring on It),193213,2008-11-14,album,False
2008-12-27,1,2ZBNclC5wm4GtiWaeh0DMx,0.426,0.584,1.0,-5.293,1.0,0.296,0.0383,0.0,0.188,0.272,193.437,4.0,Single Ladies (Put a Ring on It),193213,2008-11-14,album,False
2009-01-03,1,2ZBNclC5wm4GtiWaeh0DMx,0.426,0.584,1.0,-5.293,1.0,0.296,0.0383,0.0,0.188,0.272,193.437,4.0,Single Ladies (Put a Ring on It),193213,2008-11-14,album,False
2009-01-10,1,2ZBNclC5wm4GtiWaeh0DMx,0.426,0.584,1.0,-5.293,1.0,0.296,0.0383,0.0,0.188,0.272,193.437,4.0,Single Ladies (Put a Ring on It),193213,2008-11-14,album,False
2008-04-12,1,2aEuXA1KswHlCGPOuPmCOW,0.714,0.665,4.0,-7.736,0.0,0.0509,0.0996,0.0,0.226,0.842,78.515,4.0,Touch My Body,204733,2008-04-04,album,False
2008-04-19,1,2aEuXA1KswHlCGPOuPmCOW,0.714,0.665,4.0,-7.736,0.0,0.0509,0.0996,0.0,0.226,0.842,78.515,4.0,Touch My Body,204733,2008-04-04,album,False
2007-02-24,1,2aI21FnmY7TJVKeMaoQZ0t,0.871,0.871,1.0,-6.328,1.0,0.139,0.0469,0.00114,0.0543,0.811,116.946,4.0,Say It Right,223080,2006-01-01,album,False
2006-01-14,1,2ajhenDRiiAnCHHjsIOHhJ,0.891,0.439,7.0,-7.994,0.0,0.428,0.0351,0.0,0.0932,0.622,77.499,4.0,Laffy Taffy,224253,2005-11-08,album,True
2009-11-28,1,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11.0,-1.538,1.0,0.392,0.0295,0.0,0.46,0.811,173.585,4.0,Empire State Of Mind,276920,2009-09-08,album,True
2009-12-05,1,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11.0,-1.538,1.0,0.392,0.0295,0.0,0.46,0.811,173.585,4.0,Empire State Of Mind,276920,2009-09-08,album,True
2009-12-12,1,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11.0,-1.538,1.0,0.392,0.0295,0.0,0.46,0.811,173.585,4.0,Empire State Of Mind,276920,2009-09-08,album,True
